NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,CLUSTER,EQUIP,ITEM,TAGGENLINK,LINKED,EDITCODE,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID,CUSTOM,DEADBAND,OID,REF1,REF2
"LW_Sub1_Comp_HT_Busway_Temp_OOS","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.OOS","","","","","","","HT Busway Compartment Temperature - Out of Service","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","","","","","","","f7420ba0-3fe1-4234-1bba-efb89f5aa2c0","","","0x0012d290","",""
"LW_Sub1_Comp_HT_Busway_Temp_PV","REAL","LW_Sub1_CLX","LW_SS01_Comp.HT_BUSWAY.PV","0.0","100.0","0.0","100.0","^0xb0C","#EU","HT Busway Compartment Temperature - Process Variable","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","HT Busway Compartment Temperature","","1","","","","","","1ea2e837-c232-4c05-02ab-c0b3f0aca2ae","","","0x0012d280","",""
"LW_Sub1_Comp_LT_Busway_Temp_ChFlt_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.Offscale","","","","","","","LT Busway Compartment RTD - Channel Fault","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","Alm_Trip","","","","","","","e76a2223-44c9-46c6-a0b1-3e7c2da3d238","","","0x0012d3f0","",""
"LW_Sub1_Comp_LT_Busway_Temp_H_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.HighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Busway Compartment RTD - High level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","600","","","","","","90551a3d-e564-4212-8886-9f9cf4154879","","","0x0012d3d2","",""
"LW_Sub1_Comp_LT_Busway_Temp_H_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.HighAlarm","","","","","","","LT Busway Compartment RTD - High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","Alm_Warning","","","","","","","1eed7420-291f-4e90-5aa7-0cd356203c20","","","0x0012d410","",""
"LW_Sub1_Comp_LT_Busway_Temp_HH_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.HighHighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Busway Compartment RTD - High High Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","600","","","","","","65a94f28-80d8-468f-c88a-b6171840da9b","","","0x0012d3d1","",""
"LW_Sub1_Comp_LT_Busway_Temp_HH_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.HighHighAlarm","","","","","","","LT Busway Compartment RTD - High High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","Alm_Trip","","","","","","","a68c1ffe-8e3d-4d87-04ae-5f8bcb15bda8","","","0x0012d400","",""
"LW_Sub1_Comp_LT_Busway_Temp_L_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.LowSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Busway Compartment RTD - Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","600","","","","","","a62186a4-a0c2-4411-969a-79ee427f0606","","","0x0012d3d3","",""
"LW_Sub1_Comp_LT_Busway_Temp_L_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.LowAlarm","","","","","","","LT Busway Compartment RTD - Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","Alm_Warning","","","","","","","50eddea8-81cf-4afc-fba4-f43bbaa137d2","","","0x0012d420","",""
"LW_Sub1_Comp_LT_Busway_Temp_LL_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.LowLowSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Busway Compartment RTD - Low Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","600","","","","","","88d11873-0ad8-445f-fa80-bcf3f93d4907","","","0x0012d3d4","",""
